offense	defense	game_id	id	plays	start_yardline	yards	end_yardline	drive_result	points	start_distance	dist_range
Alabama	Louisville	401012246	4010122461	7	35	65	100	TD	7	65	(60.0, 65.0]
Louisville	Alabama	401012246	4010122462	4	75	20	55	PUNT	0	75	(70.0, 75.0]
Alabama	Louisville	401012246	4010122463	8	20	63	65	FUMBLE	0	80	(75.0, 80.0]
Louisville	Alabama	401012246	4010122464	3	83	-1	84	PUNT	0	83	(80.0, 85.0]
Alabama	Louisville	401012246	4010122465	6	45	55	100	TD	7	55	(50.0, 55.0]
Louisville	Alabama	401012246	4010122466	8	75	49	26	INT	0	75	(70.0, 75.0]
Alabama	Louisville	401012246	4010122467	6	25	75	100	TD	7	75	(70.0, 75.0]
Louisville	Alabama	401012246	4010122468	6	86	31	55	PUNT	0	86	(85.0, 90.0]
Alabama	Louisville	401012246	4010122469	5	22	19	41	PUNT	0	78	(75.0, 80.0]
Louisville	Alabama	401012246	40101224610	4	80	20	60	PUNT	0	80	(75.0, 80.0]
Alabama	Louisville	401012246	40101224611	6	20	33	53	PUNT	0	80	(75.0, 80.0]
Louisville	Alabama	401012246	40101224612	3	85	-6	91	PUNT	0	85	(80.0, 85.0]
Alabama	Louisville	401012246	40101224613	3	75	25	100	TD	7	25	(20.0, 25.0]
Louisville	Alabama	401012246	40101224615	6	75	10	65	PUNT	0	75	(70.0, 75.0]
Alabama	Louisville	401012246	40101224616	4	37	63	100	TD	7	63	(60.0, 65.0]
Louisville	Alabama	401012246	40101224617	10	96	75	3	TD	7	96	(95.0, 100.0]
Louisville	Alabama	401012246	40101224619	3	76	-4	80	PUNT	0	76	(75.0, 80.0]
Alabama	Louisville	401012246	40101224620	6	42	37	79	FG	3	58	(55.0, 60.0]
Louisville	Alabama	401012246	40101224621	6	94	26	68	PUNT	0	94	(90.0, 95.0]
Alabama	Louisville	401012246	40101224622	13	21	70	91	MISSED FG	0	79	(75.0, 80.0]
Louisville	Alabama	401012246	40101224623	1	80	0	80	INT TD	-7	80	(75.0, 80.0]
Louisville	Alabama	401012246	40101224624	5	37	32	5	DOWNS	0	37	(35.0, 40.0]
Alabama	Louisville	401012246	40101224625	3	5	9	14	PUNT	0	95	(90.0, 95.0]
Louisville	Alabama	401012246	40101224626	5	52	52	0	TD	7	52	(50.0, 55.0]
Washington	Auburn	401012248	4010122481	3	75	0	75	PUNT	0	75	(70.0, 75.0]
Auburn	Washington	401012248	4010122482	6	64	36	100	TD	7	36	(35.0, 40.0]
Washington	Auburn	401012248	4010122483	6	75	22	53	INT	0	75	(70.0, 75.0]
Auburn	Washington	401012248	4010122484	11	37	49	86	FG	3	63	(60.0, 65.0]
Washington	Auburn	401012248	4010122485	7	75	61	14	FG	3	75	(70.0, 75.0]
Auburn	Washington	401012248	4010122486	8	24	61	85	MISSED FG	0	76	(75.0, 80.0]
Washington	Auburn	401012248	4010122487	3	80	4	76	PUNT	0	80	(75.0, 80.0]
Auburn	Washington	401012248	4010122488	12	27	63	90	FG	3	73	(70.0, 75.0]
Washington	Auburn	401012248	4010122489	9	75	64	11	FG	3	75	(70.0, 75.0]
Auburn	Washington	401012248	40101224810	10	27	38	65	FG	3	73	(70.0, 75.0]
Washington	Auburn	401012248	40101224811	4	75	75	0	TD	7	75	(70.0, 75.0]
Auburn	Washington	401012248	40101224813	4	18	15	33	PUNT	0	82	(80.0, 85.0]
Washington	Auburn	401012248	40101224814	9	73	50	23	MISSED FG	0	73	(70.0, 75.0]
Auburn	Washington	401012248	40101224815	8	23	40	63	MISSED FG	0	77	(75.0, 80.0]
Washington	Auburn	401012248	40101224816	6	63	35	3	FUMBLE	0	63	(60.0, 65.0]
Auburn	Washington	401012248	40101224817	3	20	5	25	PUNT	0	80	(75.0, 80.0]
Washington	Auburn	401012248	40101224818	9	58	49	13	FG	3	58	(55.0, 60.0]
Auburn	Washington	401012248	40101224819	6	25	3	28	PUNT	0	75	(70.0, 75.0]
Washington	Auburn	401012248	40101224820	3	68	9	59	PUNT	0	68	(65.0, 70.0]
Auburn	Washington	401012248	40101224821	10	24	76	100	TD	7	76	(75.0, 80.0]
Washington	Auburn	401012248	40101224822	10	75	22	43	DOWNS	0	75	(70.0, 75.0]
Kentucky	Central Michigan	401012251	4010122511	3	26	5	31	PUNT	0	74	(70.0, 75.0]
Central Michigan	Kentucky	401012251	4010122512	3	81	6	75	PUNT	0	81	(80.0, 85.0]
Kentucky	Central Michigan	401012251	4010122513	6	11	15	26	PUNT	0	89	(85.0, 90.0]
Central Michigan	Kentucky	401012251	4010122514	3	80	5	75	PUNT	0	80	(75.0, 80.0]
Kentucky	Central Michigan	401012251	4010122515	2	44	5	49	FUMBLE	0	56	(55.0, 60.0]
Central Michigan	Kentucky	401012251	4010122516	7	49	41	8	FG	3	49	(45.0, 50.0]
Kentucky	Central Michigan	401012251	4010122517	4	24	76	100	TD	7	76	(75.0, 80.0]
Central Michigan	Kentucky	401012251	4010122518	3	98	5	93	PUNT	0	98	(95.0, 100.0]
Kentucky	Central Michigan	401012251	4010122519	3	64	4	68	INT	0	36	(35.0, 40.0]
Central Michigan	Kentucky	401012251	40101225110	14	80	80	0	TD	7	80	(75.0, 80.0]
Kentucky	Central Michigan	401012251	40101225111	1	26	-6	20	FUMBLE TD	-7	74	(70.0, 75.0]
