team	off_aPPD	def_aPPD	net_aPPD
Air Force	-0.4	-0.01	-0.38
Akron	-0.73	-0.72	-0.01
Alabama	2.08	-1.68	3.75
Appalachian State	0.59	-0.35	0.94
Arizona	-0.24	0.36	-0.6
Arizona State	0.82	0.23	0.58
Arkansas	0.15	-0.09	0.23
Arkansas State	-0.69	0.1	-0.8
Army	1.12	-0.21	1.33
Auburn	-0.11	-1.19	1.08
BYU	-0.05	0.37	-0.42
Ball State	-0.21	0.63	-0.84
Baylor	0.66	0.23	0.43
Boise State	0.3	-0.27	0.57
Boston College	0.1	-0.64	0.74
Bowling Green	-0.56	1.2	-1.76
Buffalo	0.68	0.19	0.49
California	-1.78	-0.51	-1.27
Central Michigan	-0.18	0.14	-0.32
Charlotte	-0.88	1.41	-2.29
Cincinnati	-0.32	-0.65	0.33
Clemson	0.68	-1.47	2.15
Coastal Carolina	0.02	1.57	-1.55
Colorado	0.58	-0.1	0.68
Colorado State	-0.16	0.36	-0.51
Connecticut	-0.67	2.89	-3.56
Duke	-0.32	-1.19	0.87
East Carolina	-1.23	0.38	-1.61
Eastern Michigan	-0.37	-0.28	-0.1
Florida	0.67	-1.52	2.18
Florida Atlantic	-0.27	0.75	-1.02
Florida International	-0.1	0.55	-0.65
Florida State	-0.44	-0.4	-0.04
Fresno State	0.12	-0.71	0.82
Georgia	1.71	-1.54	3.25
Georgia Southern	-0.51	0.61	-1.12
Georgia State	-0.36	1.33	-1.69
Georgia Tech	1.03	0.81	0.22
Hawai'i	0.43	1.1	-0.67
Houston	0.31	0.25	0.06
Illinois	-0.24	0.98	-1.23
Indiana	0.27	0.16	0.11
Iowa	0.88	-1.09	1.97
Iowa State	0.56	-0.84	1.39
Kansas	-0.53	-0.49	-0.04
Kansas State	0.39	-0.37	0.76
Kent State	-0.85	0.83	-1.67
Kentucky	0.49	-1.55	2.04
LSU	1.11	-0.94	2.05
Liberty	-0.06	0.59	-0.65
Louisiana	0.83	2.1	-1.27
Louisiana Monroe	-0.7	1.11	-1.82
Louisiana Tech	-0.31	0.03	-0.34
Louisville	-0.5	0.82	-1.32
Marshall	-0.59	0.24	-0.83
Maryland	0.04	-0.72	0.76
Memphis	0.15	0.42	-0.27
Miami	-0.22	-1.21	0.99
Miami (OH)	0.3	0.02	0.27
Michigan	0.86	-1.25	2.11
Michigan State	0.01	-1.0	1.01
Middle Tennessee	-0.64	0.61	-1.25
Minnesota	0.21	-0.39	0.61
Mississippi State	0.99	-1.34	2.33
Missouri	0.92	-0.74	1.67
NC State	0.68	-0.64	1.32
Navy	-0.56	0.74	-1.29
Nebraska	-0.56	0.09	-0.65
Nevada	-1.14	-0.03	-1.1
New Mexico	-0.5	-0.21	-0.29
New Mexico State	-1.12	0.64	-1.76
North Carolina	-0.67	1.29	-1.96
North Texas	0.18	-0.59	0.77
Northern Illinois	-0.82	-0.51	-0.3
Northwestern	0.14	-0.36	0.5
Notre Dame	0.55	-0.99	1.54
Ohio	0.54	1.33	-0.79
Ohio State	1.33	-0.45	1.79
Oklahoma	1.86	-0.23	2.09
Oklahoma State	0.7	0.11	0.59
Old Dominion	-0.4	1.27	-1.67
Ole Miss	1.07	0.07	1.0
Oregon	0.66	0.26	0.39
Oregon State	-0.15	1.85	-2.0
Penn State	0.67	-0.78	1.46
Pittsburgh	-0.62	-0.27	-0.35
Purdue	0.76	-0.26	1.02
Rice	-1.56	1.3	-2.86
Rutgers	-1.06	0.61	-1.67
SMU	-1.0	0.83	-1.83
San Diego State	-0.37	-0.92	0.55
San José State	-1.61	-0.18	-1.43
South Alabama	-0.67	1.05	-1.71
South Carolina	0.75	-0.88	1.63
South Florida	-0.53	0.21	-0.75
Southern Mississippi	-0.61	-0.15	-0.45
Stanford	0.59	-0.08	0.67
Syracuse	0.04	0.1	-0.05
TCU	-0.59	-1.34	0.75
Temple	-0.06	-0.64	0.58
Tennessee	0.43	-0.25	0.68
Texas	0.8	-0.46	1.26
Texas A&M	0.8	-0.78	1.57
Texas State	-1.94	0.46	-2.4
Texas Tech	0.84	-0.09	0.93
Toledo	0.34	1.62	-1.28
Troy	-0.62	0.09	-0.72
Tulane	-0.57	0.07	-0.63
Tulsa	-0.74	0.09	-0.83
UAB	-0.46	-0.14	-0.32
UCF	0.92	-0.05	0.97
UCLA	0.16	0.45	-0.29
UMass	-0.7	1.71	-2.41
UNLV	-0.3	0.84	-1.15
USC	-0.22	-0.72	0.5
UT San Antonio	-1.54	0.67	-2.21
UTEP	-1.01	1.11	-2.12
Utah	0.15	-0.97	1.12
Utah State	0.94	-0.44	1.39
Vanderbilt	0.71	-0.03	0.74
Virginia	-0.17	-0.36	0.19
Virginia Tech	-0.31	0.19	-0.5
Wake Forest	0.17	0.57	-0.4
Washington	0.77	-0.67	1.44
Washington State	1.39	0.38	1.01
West Virginia	0.98	-0.71	1.69
Western Kentucky	-1.26	0.4	-1.66
Western Michigan	0.5	0.62	-0.12
Wisconsin	0.91	-0.2	1.11
Wyoming	-0.95	-0.38	-0.57
